State,Year,unemployment_rate
PA,2008,5.4
RI,2008,7.6
SC,2008,6.9
SD,2008,3.1
TN,2008,6.5
TX,2008,4.9
UT,2008,3.3
VT,2008,4.5
VA,2008,4.1
WA,2008,5.2
WV,2008,4.5
WI,2008,4.9
WY,2008,3
AL,2009,9.7
AK,2009,7.8
AZ,2009,9.7
AR,2009,7.7
CA,2009,11.5
CO,2009,8
CT,2009,8.3
DE,2009,8.2
FL,2009,10.2
GA,2009,9.9
HI,2009,6.5
ID,2009,9.1
IL,2009,10
IN,2009,10.2
IA,2009,6.5
KS,2009,7.1
KY,2009,10.6
LA,2009,6.7
ME,2009,8.3
MD,2009,7.1
MA,2009,8.1
MI,2009,13.5
MN,2009,7.7
MS,2009,9.2
MO,2009,9.1
MT,2009,7.1
NE,2009,4.6
NV,2009,11.1
NH,2009,6.1
NJ,2009,8.9
NM,2009,7.1
NY,2009,8.4
NC,2009,10.8
ND,2009,3.9
OH,2009,10.2
OK,2009,6.5
OR,2009,10.6
PA,2009,8
RI,2009,11.2
SC,2009,11
SD,2009,4.6
TN,2009,10.4
TX,2009,7.6
UT,2009,7.6
VT,2009,6.5
VA,2009,6.8
WA,2009,9.1
WV,2009,8
WI,2009,8.8
WY,2009,6.3
AL,2010,10.4
AK,2010,8
AZ,2010,10.4
AR,2010,7.8
CA,2010,12.3
CO,2010,9.2
CT,2010,9.5
DE,2010,8.3
FL,2010,11.3
GA,2010,10.4
HI,2010,6.7
ID,2010,9.1
IL,2010,10.4
IN,2010,10
IA,2010,6.1
KS,2010,7
KY,2010,10.3
LA,2010,7.4
ME,2010,8.4
MD,2010,7.8
MA,2010,8.1
MI,2010,12.8
MN,2010,7.4
MS,2010,10.1
MO,2010,9.4
MT,2010,7.2
NE,2010,4.7
NV,2010,13.3
NH,2010,6.1
NJ,2010,9.7
NM,2010,7.8
NY,2010,8.7
NC,2010,10.8
ND,2010,3.7
OH,2010,10
OK,2010,6.5
OR,2010,10.6
PA,2010,8.2
RI,2010,11.6
SC,2010,11.1
SD,2010,4.9
TN,2010,9.8
TX,2010,8.3
UT,2010,8.3
VT,2010,6.2
VA,2010,6.8
WA,2010,10
WV,2010,8.4
WI,2010,8.4
WY,2010,6.9
AL,2011,9.6
AK,2011,7.6
AZ,2011,9.5
AR,2011,7.9
CA,2011,11.7
CO,2011,8.7
CT,2011,9
DE,2011,7.4
FL,2011,10.2
GA,2011,10
HI,2011,6.7
ID,2011,8.4
IL,2011,9.8
IN,2011,8.9
IA,2011,5.6
KS,2011,6.4
KY,2011,9.4
LA,2011,7.3
ME,2011,7.8
MD,2011,7.3
MA,2011,7.2
MI,2011,10.1
MN,2011,6.6
MS,2011,9.8
MO,2011,8.6
MT,2011,6.6
NE,2011,4.4
NV,2011,13
NH,2011,5.5
NJ,2011,9.4
NM,2011,7.2
NY,2011,8.4
NC,2011,10.4
ND,2011,3.3
OH,2011,8.8
OK,2011,5.6
OR,2011,9.5
PA,2011,7.7
RI,2011,11.1
SC,2011,10.3
SD,2011,4.6
TN,2011,9
TX,2011,8
UT,2011,7.2
VT,2011,5.4
VA,2011,6.3
WA,2011,9.4
WV,2011,7.7
WI,2011,7.5
WY,2011,6.1
AL,2012,8.2
AK,2012,7.1
AZ,2012,8.4
AR,2012,7.2
CA,2012,10.4
CO,2012,8
CT,2012,8.4
DE,2012,7
FL,2012,8.7
GA,2012,9
HI,2012,5.8
ID,2012,7.5
IL,2012,9
IN,2012,8.2
IA,2012,5
KS,2012,5.7
KY,2012,8.2
LA,2012,6.7
ME,2012,7.2
MD,2012,6.9
MA,2012,6.7
MI,2012,9.1
MN,2012,5.7
MS,2012,8.8
MO,2012,7.1
MT,2012,5.8
NE,2012,3.9
NV,2012,11.5
NH,2012,5.5
NJ,2012,9.4
NM,2012,6.9
NY,2012,8.6
NC,2012,9.6
ND,2012,2.9
OH,2012,7.4
OK,2012,5.1
OR,2012,8.7
PA,2012,7.6
RI,2012,10.3
SC,2012,9
SD,2012,4
TN,2012,7.9
TX,2012,6.7
UT,2012,4.8
VT,2012,4.8
VA,2012,5.8
WA,2012,8.5
WV,2012,7.2
WI,2012,6.9
WY,2012,5.4
AL,2013,7.4
AK,2013,6.9
AZ,2013,7.8
AR,2013,7
CA,2013,9
CO,2013,6.7
CT,2013,7.9
DE,2013,6.5
FL,2013,7.5
GA,2013,8.1
HI,2013,4.7
ID,2013,6.9
IL,2013,9.1
IN,2013,7.5
IA,2013,4.7
KS,2013,5.3
KY,2013,7.9
LA,2013,6.4
ME,2013,6.7
MD,2013,6.6
MA,2013,6.7
MI,2013,8.8
MN,2013,5
MS,2013,8.5
MO,2013,6.8
MT,2013,5.3
NE,2013,3.7
NV,2013,10
NH,2013,5.2
NJ,2013,8.4
