"State","Year","under19_pop_prct","white_pop_prct"
"KS",1995,0.295372138560181,0.914185928757593
"KS",1996,0.29554753889191,0.913537452276755
"KS",1997,0.296872604629772,0.912700755741679
"KS",1998,0.298045777678552,0.910927919212147
"KS",1999,0.297956419242082,0.909206754337951
"KS",2000,0.296832104469683,0.906242053160712
"KS",2001,0.295550377808584,0.904740352354892
"KS",2002,0.293333235060539,0.902933995691966
"KS",2003,0.291691088224623,0.901480497274334
"KS",2004,0.2893928516702,0.900015469725601
"KS",2005,0.287571226303583,0.898701744327303
"KS",2006,0.285602861598788,0.897015524455732
"KS",2007,0.285502292741717,0.895420802971494
"KS",2008,0.284786095533027,0.893267489911242
"KS",2009,0.284627691421342,0.891408703486139
"KS",2010,0.283947883100844,0.889497549148237
"KS",2011,0.28261743153639,0.888046772212008
"KS",2012,0.280484892680271,0.8863768461527
"KS",2013,0.278742103931547,0.884923745650163
"KS",2014,0.277110128513433,0.883503908842517
"KS",2015,0.275396002283938,0.881728532480627
"KS",2016,0.273909216708281,0.880585149874057
"KS",2017,0.272470552318925,0.880272683704642
"KS",2018,0.270457542336758,0.879263258155384
"KS",2019,0.2684540698325,0.87818889415971
"KY",1990,0.289350598584534,0.92233127452594
"KY",1991,0.286729433838179,0.921970068193883
"KY",1992,0.285603201088629,0.921364642757649
"KY",1993,0.28425326438288,0.920927410533429
"KY",1994,0.284361646187357,0.920144979797812
"KY",1995,0.282859588102876,0.919465240118978
"KY",1996,0.281841851137954,0.918482166889695
"KY",1997,0.283423654486361,0.917489786217028
"KY",1998,0.280377077274746,0.916317600034125
"KY",1999,0.277840287323238,0.915078770737967
"KY",2000,0.275163798854093,0.912785090519412
"KY",2001,0.272813419033601,0.911317282723373
"KY",2002,0.271314893486965,0.910091139704759
"KY",2003,0.270299016071719,0.909202923367264
"KY",2004,0.268555927605237,0.907602347362016
"KY",2005,0.26759216800845,0.906283963964309
"KY",2006,0.266905240494791,0.905216082805454
"KY",2007,0.266173198216823,0.903669110516385
"KY",2008,0.266436947624152,0.902662033745482
"KY",2009,0.265074446256886,0.900956990776623
"KY",2010,0.263573664481768,0.899423230081728
"KY",2011,0.261041127313911,0.898037242257749
"KY",2012,0.258571941201173,0.896558091860514
"KY",2013,0.257114114849753,0.894766655035044
"KY",2014,0.255446273051814,0.893637317756254
"KY",2015,0.254332151823688,0.892183102664813
"KY",2016,0.253571169456322,0.890638103619906
"KY",2017,0.25279520460134,0.88909158208805
"KY",2018,0.25175644054351,0.888215445648244
"KY",2019,0.250451185661977,0.887100734543464
"LA",1990,0.318972354112204,0.677286350073859
"LA",1991,0.318795921922827,0.674522409651471
"LA",1992,0.318372943135609,0.671283015641964
"LA",1993,0.317361716678698,0.66776302071991
"LA",1994,0.317559064662962,0.664790714439005
"LA",1995,0.316663161123226,0.662069266341142
"LA",1996,0.314771474628638,0.659377609330745
"LA",1997,0.312537391957741,0.657402923409283
"LA",1998,0.310754076711174,0.655632761786024
"LA",1999,0.308540532203673,0.653594380035379
"LA",2000,0.305463356056786,0.651188480920238
"LA",2001,0.301286212768333,0.64995338190548
"LA",2002,0.297617864360733,0.648609032997151
"LA",2003,0.29452878340878,0.647311172955261
"LA",2004,0.291291228622054,0.646033884871573
"LA",2005,0.288271845559657,0.644802898553258
"LA",2006,0.281059296970598,0.658681770484107
"LA",2007,0.28106484601702,0.65387887917056
