"State","Year","under19_pop_prct","white_pop_prct","Income","income_adj","educ_spending","governor","house","senate"
"ND",2009,0.256988306204208,0.915853093682704,50080,56089.6,6496.022461,1,1,1
"ND",2010,0.255764285661353,0.913907353475171,51010,56111,6878.111328,1,1,1
"ND",2011,0.255586121347003,0.91142617388449,56360,60305.2,7030.954102,1,1,1
"ND",2012,0.256062671854142,0.909028546327883,55770,58558.5,6951.397949,1,1,1
"ND",2013,0.257093829116554,0.904954877596131,56020,57700.6,6967.186035,1,1,1
"NE",1997,0.297026004229082,0.93840079980171,34690,52035,4706.666016,-1,NA,NA
"NE",1998,0.29724687112281,0.93717007033782,36410,53522.7,4705.416504,-1,NA,NA
"NE",1999,0.296390585441739,0.935459688261836,38630,55627.2,4735.668945,1,NA,NA
"NE",2000,0.294428819829387,0.93167718896967,41750,58032.5,4909.231934,1,NA,NA
"NE",2001,0.293624508383357,0.929638639963345,43610,59309.6,5207.082031,1,NA,NA
"NE",2002,0.291726166643137,0.927817753018587,42800,56924,5523.670898,1,NA,NA
"NE",2003,0.289723077135444,0.925847917024944,43970,57161,5657.32959,1,NA,NA
"NE",2004,0.288032834677627,0.923934902279106,43790,55613.3,5752.150391,1,NA,NA
"NE",2005,0.285825635808633,0.922073100323191,47920,58941.6,5677.648438,1,NA,NA
"NE",2006,0.284140570307436,0.919890810196689,48150,57298.5,5726.317871,1,NA,NA
"NE",2007,0.283091104831113,0.917998923428879,49170,57037.2,6051.982422,1,NA,NA
"NE",2008,0.282549663823538,0.915431496043706,50730,56310.3,6153.720703,1,NA,NA
"NE",2009,0.281556124264419,0.913736709617732,49600,55552,6431.949219,1,NA,NA
"NE",2010,0.280581150910993,0.911837498127947,52500,57750,6861.948242,1,NA,NA
"NE",2011,0.279977095321709,0.910232784548252,55620,59513.4,6838.375977,1,NA,NA
"NE",2012,0.278676503518313,0.908421882444479,52200,54810,7048.46875,1,NA,NA
"NE",2013,0.277746653449698,0.906659539940138,55695,57365.85,7154.836426,1,NA,NA
"NH",1997,0.280545641801711,0.978268491077622,41000,61500,5062.4375,-1,1,1
"NH",1998,0.281646682256165,0.977195382854868,44960,66091.2,5216.615234,-1,1,1
"NH",1999,0.279965695974023,0.975438906591905,46060,66326.4,5358.270996,-1,1,-1
"NH",2000,0.278253898354843,0.97318615803762,50930,70792.7,5661.609375,-1,1,0
"NH",2001,0.27702611752768,0.970714056440494,51330,69808.8,5930.54541,-1,1,1
